Id,SalePrice
1461,116065.74805992244
1462,150114.50055150944
1463,181578.89188890395
1464,197412.68216499063
1465,184290.06149126383
1466,166286.24704180408
1467,174363.69838350345
1468,159003.49143465929
1469,181335.8972950253
1470,118986.06091246166
1471,176037.54489517695
1472,92458.05422527481
1473,94711.00494217103
1474,147400.00500273862
1475,116347.31185112607
1476,349363.34203225665
1477,251205.69455538507
1478,279518.6483293688
1479,263186.5911040439
1480,529524.2839073151
1481,327622.5211668733
1482,210416.22926191066
1483,171495.185630855
1484,157307.04463761553
1485,184899.63268375798
1486,190771.95289537948
1487,333400.17249039566
1488,216082.18834378902
1489,199778.37919841558
1490,238029.37299962132
1491,189130.71357446644
1492,94649.112996821
1493,191363.9662610788
1494,286444.3727874329
1495,286184.0064220751
1496,246174.700768631
1497,200175.9907980257
1498,164626.68417009446
1499,159303.62302136817
1500,154443.62234101986
1501,180476.35261359919
1502,145705.98704647334
1503,277721.2838031589
1504,243766.32446938142
1505,226043.05265805178
1506,192392.9554891002
1507,254276.3399346541
1508,199888.23211700076
1509,160082.03271108744
1510,141407.77707466402
1511,149447.8650905971
1512,175083.63895913097
1513,136441.4135671019
1514,157409.04078270623
1515,198861.84865335037
1516,156542.6309573237
1517,166997.25208522877
1518,132339.16452348008
1519,199496.87507010854
1520,128673.96150087014
1521,131704.03887631174
1522,176741.0426896246
1523,114003.07328250428
1524,118263.236448688
1525,123443.85369304095
1526,107774.04343233148
1527,106647.40218836731
1528,138738.01587564268
1529,139750.66709174728
1530,189551.5956092962
1531,116063.536385566
1532,95135.9270065639
1533,145675.459399037
1534,120046.60109916651
1535,147616.38197532052
1536,112054.40791405346
1537,59532.30972326612
1538,155082.08177031513
1539,181373.09724161937
1540,94193.27407784644
1541,129886.14034759397
1542,134997.55708958974
1543,184168.25063310965
1544,86828.47447527284
1545,113706.5577386187
1546,123653.2552737106
1547,128851.50562902426
1548,127640.57625968193
1549,114754.07866976334
1550,127444.71228745561
1551,107395.20566581002
1552,134338.3455354789
1553,137311.73991086672
1554,110655.8201479011
1555,169033.117112979
1556,88864.3376774894
1557,101097.47644872368
1558,106699.06231368572
1559,73066.43560949688
1560,127716.49840573064
1561,118431.7047565871
1562,129896.03905392066
1563,115384.70227705248
1564,157671.52383536144
1565,142844.04418239242
1566,236747.08805129025
1567,79063.19538324232
1568,238373.6138513478
1569,130855.5550249176
1570,141200.05933920242
1571,122225.42726366135
1572,144775.05241888794
1573,235377.9991835311
1574,111634.83731004744
1575,236049.94322531368
1576,253324.84293744958
1577,176890.2370501999
1578,147754.54400596846
1579,148520.8540126536
1580,190731.97405608554
1581,157386.1470434568
1582,126315.71195008635
1583,305822.4108457356
1584,223317.97393631877
1585,142757.0310175283
1586,70801.49872755872
1587,103688.99466000307
1588,153278.76455368908
1589,100885.90756681935
1590,133789.83742229914
1591,96118.43822388799
1592,115179.88554067204
1593,123344.51992772725
1594,118181.44603188585
1595,98078.79450540517
1596,211165.26151723225
1597,183039.19450420735
1598,196007.17246133814
1599,168122.66383826412
1600,153972.89375176068
1601,68074.05511354946
1602,115176.27638679715
1603,79576.26720233988
1604,249393.1746397097
1605,228454.03004390854
1606,168088.51887443336
1607,177400.5672281469
1608,217153.41517919008
1609,180772.54917243574
1610,147737.01645010075
1611,134816.98346926025
1612,166363.89243392184
1613,163369.2109482157
1614,115582.4082247254
1615,90916.46668428773
1616,80753.74442742938
